GO_0034705	GO_0071198
GO_0034705	GO_0071201
GO_0034705	GO_0098855
GO_0034705	GO_0071200
GO_0034705	GO_0071202
GO_0034705	GO_1990374
GO_0034705	GO_0008282
GO_0034705	GO_0008076
GO_0034705	GO_1990759
GO_0034705	GO_0071193
GO_0034705	GO_0071192
GO_0034705	GO_1990746
GO_0034705	GO_1902937
GO_0034705	GO_0071195
GO_0034705	GO_0071194
GO_0034705	GO_0071197
GO_0034705	GO_1990566
GO_0034705	GO_0071196
GO_0034751	GO_0034753
GO_0034751	GO_0034752
GO_0019022	GO_0019023
GO_0019022	GO_0019024
GO_0019022	GO_0019025
GO_0019022	GO_0019026
GO_0019022	GO_0019027
GO_0019024	GO_0019025
GO_0019024	GO_0019026
GO_0019024	GO_0019027
GO_0019028	GO_0019029
GO_0019028	GO_0039628
GO_0019028	GO_0039617
GO_0019028	GO_0039618
GO_0019028	GO_0039629
GO_0019028	GO_0039619
GO_0019028	GO_0039615
GO_0019028	GO_0039627
GO_0019028	GO_0039616
GO_0019028	GO_0039620
GO_0019028	GO_0039621
GO_0019028	GO_0039622
GO_0019028	GO_0039623
GO_0019028	GO_0019030
GO_0034646	GO_0034430
GO_0034646	GO_0033105
GO_0019030	GO_0039628
GO_0019030	GO_0039617
GO_0019030	GO_0039618
GO_0019030	GO_0039629
GO_0019030	GO_0039619
GO_0019030	GO_0039615
GO_0019030	GO_0039627
GO_0019030	GO_0039616
GO_0019030	GO_0039620
GO_0019030	GO_0039621
GO_0019030	GO_0039622
GO_0019030	GO_0039623
GO_0044094	GO_0044196
GO_0044094	GO_0019034
GO_0044094	GO_0044199
GO_0044094	GO_0044203
GO_0044094	GO_0044204
GO_0044094	GO_0044095
GO_0044094	GO_0072495
GO_0044094	GO_0075341
GO_0019005	GO_0097675
GO_0019005	GO_0097664
GO_0019005	GO_0097665
GO_0019005	GO_0097666
GO_0019005	GO_0097667
GO_0019005	GO_0097668
GO_0019005	GO_0097669
GO_0019005	GO_0043223
GO_0019005	GO_0043224
GO_0019005	GO_0097670
GO_0019005	GO_0097671
GO_0019005	GO_0097660
GO_0019005	GO_0097661
GO_0019005	GO_0097672
GO_0019005	GO_0097673
GO_0019005	GO_0097662
GO_0019005	GO_0097663
GO_0019005	GO_0097674
GO_0019015	GO_0019020
GO_0019015	GO_0019021
GO_0019015	GO_0019022
GO_0019015	GO_0019023
GO_0019015	GO_0019024
GO_0019015	GO_0019025
GO_0019015	GO_0019026
GO_0019015	GO_0019027
GO_0019015	GO_0019038
GO_0019015	GO_0019016
GO_0019015	GO_0019017
GO_0019015	GO_0019018
GO_0019015	GO_0019019
GO_0019017	GO_0019020
GO_0019017	GO_0019018
GO_0019017	GO_0019019
GO_0034592	GO_0098899
GO_0009505	GO_0009530
GO_0009505	GO_0009531
GO_0009503	GO_0030083
GO_0009503	GO_0030084
GO_0009503	GO_0009517
GO_0009503	GO_0009518
GO_0009508	GO_0042648
GO_0009506	GO_0009551
GO_0009506	GO_0009550
GO_0009518	GO_0030083
GO_0009518	GO_0030084
GO_0009522	GO_0030094
GO_0009522	GO_0030093
GO_0009523	GO_0030095
GO_0009523	GO_0030096
GO_0009521	GO_0030094
GO_0009521	GO_0030095
GO_0009521	GO_0030096
GO_0009521	GO_0009522
GO_0009521	GO_0009523
GO_0009521	GO_0030093
GO_0009526	GO_0009941
GO_0009526	GO_0033112
GO_0009526	GO_0031898
GO_0009526	GO_0034425
GO_0009526	GO_0033096
GO_0009527	GO_0036013
GO_0009527	GO_0031900
GO_0009527	GO_0009707
GO_0009528	GO_0033098
GO_0009528	GO_0036012
GO_0009528	GO_0009706
GO_0009528	GO_0031899
GO_0009529	GO_0036014
GO_0009529	GO_0031973
GO_0009529	GO_0031972
GO_0009534	GO_0009533
GO_0009534	GO_0009515
GO_0009532	GO_0009571
GO_0009532	GO_0009577
GO_0009532	GO_0009578
GO_0009532	GO_0009575
GO_0009532	GO_0009576
GO_0009532	GO_0034060
GO_0009532	GO_0009570
GO_0009536	GO_0020011
GO_0009536	GO_0031986
GO_0009536	GO_0009842
GO_0009536	GO_0009501
GO_0009536	GO_0009545
